Timestamp; robot ID; x coordinate; y coordinate; angle; current joint x; current joint y; previous joint x; previous joint y; it entry; age 
8974; 13; 14.3299; 6.28927; 76.3658; 13.9817; 6.22333; 14.2808; 6.6488; 8212; 762
8987; 1; 9.20288; 5.44042; 38.4655; 9.20905; 5.79427; 8.76361; 5.25733; 2456; 6531
8987; 2; 9.00287; 6.16682; 45.5417; 8.75986; 6.42681; 8.7574; 5.90682; 1826; 7161
8987; 3; 9.89951; 5.51596; 45.0158; 9.58275; 5.46148; 0; 0; 2693; 6294
8987; 4; 9.98177; 6.44558; 55.5171; 10.073; 5.98129; 0; 0; 4383; 4604
8987; 5; 12.0688; 7.17673; 64.6607; 11.8941; 6.98585; 11.7604; 7.47841; 5954; 3033
8987; 6; 10.4944; 6.79951; 61.2154; 10.2945; 6.38732; 0; 0; 4641; 4346
8987; 7; 11.4254; 7.76555; 61.6633; 11.5896; 7.28641; 0; 0; 5869; 3118
8987; 8; 11.5116; 6.82751; 63.8281; 11.1539; 6.48236; 0; 0; 5538; 3449
8987; 9; 10.7492; 6.20143; 57.2937; 10.711; 6.47339; 10.333; 6.13002; 5425; 3562
8987; 10; 12.8046; 6.75522; 65.1635; 12.3805; 6.93444; 0; 0; 6488; 2499
8987; 11; 13.3549; 6.9326; 74.9405; 13.0629; 6.82081; 0; 0; 7103; 1884
8987; 12; 13.9524; 6.56798; 73.1218; 13.6861; 6.59356; 0; 0; 7671; 1316
8987; 13; 14.3502; 6.27445; 76.2813; 13.9845; 6.2218; 14.3183; 6.62045; 8212; 775
9030; 1; 9.20281; 5.44036; 38.4646; 9.20903; 5.79889; 8.76361; 5.25733; 2456; 6574
9030; 2; 9.00287; 6.16682; 45.5417; 8.75986; 6.42681; 8.7574; 5.90682; 1826; 7204
9030; 3; 9.89997; 5.51584; 45.0159; 9.58066; 5.46381; 0; 0; 2693; 6337
9030; 4; 9.98061; 6.44454; 55.5243; 10.0736; 5.98096; 0; 0; 4383; 4647
9030; 5; 12.0717; 7.17514; 64.6607; 11.8969; 6.98398; 11.7677; 7.47562; 5954; 3076
9030; 6; 10.477; 6.79965; 61.284; 10.2989; 6.38125; 0; 0; 4641; 4389
9030; 7; 11.4419; 7.76934; 61.6067; 11.5924; 7.28455; 0; 0; 5869; 3161
9030; 8; 11.5133; 6.82669; 63.8227; 11.1558; 6.49342; 0; 0; 5538; 3492
9030; 9; 10.7497; 6.20135; 57.2938; 10.7117; 6.45862; 10.3374; 6.12395; 5425; 3605
9030; 10; 12.8064; 6.75268; 65.1582; 12.3833; 6.93285; 0; 0; 6488; 2542
9030; 11; 13.3545; 6.92688; 74.9346; 13.053; 6.80288; 0; 0; 7103; 1927
9030; 12; 13.9511; 6.561; 73.1226; 13.685; 6.58645; 0; 0; 7671; 1359
9030; 13; 14.3489; 6.26747; 76.2821; 13.9834; 6.2147; 14.3169; 6.6136; 8212; 818
9053; 1; 9.2028; 5.44038; 38.4646; 9.19928; 5.7687; 8.76361; 5.25733; 2456; 6597
9053; 2; 9.00287; 6.16682; 45.5417; 8.75986; 6.42681; 8.7574; 5.90682; 1826; 7227
9053; 3; 9.89992; 5.51612; 45.0162; 9.58045; 5.45889; 0; 0; 2693; 6360
9053; 4; 9.98094; 6.44523; 55.5223; 10.0732; 5.98195; 0; 0; 4383; 4670
9053; 5; 12.075; 7.17342; 64.6607; 11.9004; 6.98314; 11.7668; 7.4757; 5954; 3099
9053; 6; 10.4998; 6.7996; 61.1958; 10.2947; 6.38807; 0; 0; 4641; 4412
9053; 7; 11.4452; 7.76758; 61.6072; 11.596; 7.28371; 0; 0; 5869; 3184
9053; 8; 11.5149; 6.82607; 63.8149; 11.1541; 6.48324; 0; 0; 5538; 3515
9053; 9; 10.7496; 6.20176; 57.2938; 10.7111; 6.47421; 10.3331; 6.13077; 5425; 3628
9053; 10; 12.8111; 6.75224; 65.1654; 12.3867; 6.93113; 0; 0; 6488; 2565
9053; 11; 13.3614; 6.92947; 74.942; 13.0597; 6.8077; 0; 0; 7103; 1950
9053; 12; 13.9579; 6.56615; 73.1276; 13.6928; 6.59076; 0; 0; 7671; 1382
9053; 13; 14.3556; 6.27261; 76.2871; 13.9911; 6.21901; 14.3227; 6.61958; 8212; 841
9055; 1; 9.20281; 5.44035; 38.4645; 9.19928; 5.7687; 8.76361; 5.25733; 2456; 6599
9055; 2; 9.00287; 6.16682; 45.5417; 8.75986; 6.42681; 8.7574; 5.90682; 1826; 7229
9055; 3; 9.90008; 5.51567; 45.0155; 9.58047; 5.45882; 0; 0; 2693; 6362
9055; 4; 9.98146; 6.44467; 55.5214; 10.0738; 5.98085; 0; 0; 4383; 4672
9055; 5; 12.0775; 7.1711; 64.6607; 11.9016; 6.98066; 11.768; 7.47322; 5954; 3101
9055; 6; 10.5002; 6.79888; 61.1954; 10.2953; 6.38687; 0; 0; 4641; 4414
9055; 7; 11.4473; 7.76514; 61.6084; 11.5972; 7.28123; 0; 0; 5869; 3186
9055; 8; 11.5163; 6.82452; 63.8097; 11.155; 6.48173; 0; 0; 5538; 3517
9055; 9; 10.7499; 6.20109; 57.2937; 10.7119; 6.47286; 10.3337; 6.12957; 5425; 3630
9055; 10; 12.814; 6.75028; 65.1675; 12.3891; 6.9288; 0; 0; 6488; 2567
